feature
AVG_Shank_R_Gyro_Y
AVG_Shank_R_Gyro_Z
AVG_Shank_R_Accel_X
AVG_Shank_R_Accel_Y
AVG_Shank_R_Accel_Z
AVG_Foot_R_Gyro_X
AVG_Foot_R_Gyro_Y
AVG_Foot_R_Gyro_Z
AVG_Foot_R_Accel_X
AVG_Foot_R_Accel_Y
AVG_Foot_R_Accel_Z
AVG_Thigh_L_Gyro_X
AVG_Thigh_L_Gyro_Y
AVG_Thigh_L_Gyro_Z
AVG_Thigh_L_Accel_X
AVG_Thigh_L_Accel_Y
AVG_Thigh_L_Accel_Z
AVG_Shank_L_Gyro_X
AVG_Shank_L_Gyro_Y
AVG_Shank_L_Gyro_Z
AVG_Shank_L_Accel_X
AVG_Shank_L_Accel_Y
AVG_Shank_L_Accel_Z
AVG_Foot_L_Gyro_X
AVG_Foot_L_Gyro_Y
AVG_Foot_L_Gyro_Z
AVG_Foot_L_Accel_X
AVG_Foot_L_Accel_Y
AVG_Foot_L_Accel_Z
AVG_Pelvis_Gyro_X
AVG_Pelvis_Gyro_Y
AVG_Pelvis_Gyro_Z
AVG_Pelvis_Accel_X
AVG_Pelvis_Accel_Y
AVG_Pelvis_Accel_Z
SD_Thigh_R_Gyro_X
SD_Thigh_R_Gyro_Y
SD_Thigh_R_Gyro_Z
SD_Thigh_R_Accel_X
SD_Thigh_R_Accel_Y
SD_Thigh_R_Accel_Z
SD_Shank_R_Gyro_X
SD_Shank_R_Gyro_Y
SD_Shank_R_Gyro_Z
SD_Shank_R_Accel_X
SD_Shank_R_Accel_Y
SD_Shank_R_Accel_Z
SD_Foot_R_Gyro_X
SD_Foot_R_Gyro_Y
SD_Foot_R_Gyro_Z
SD_Foot_R_Accel_X
SD_Foot_R_Accel_Y
SD_Foot_R_Accel_Z
SD_Thigh_L_Gyro_X
SD_Thigh_L_Gyro_Y
SD_Thigh_L_Gyro_Z
SD_Thigh_L_Accel_X
SD_Thigh_L_Accel_Y
SD_Thigh_L_Accel_Z
SD_Shank_L_Gyro_X
SD_Shank_L_Gyro_Y
SD_Shank_L_Gyro_Z
SD_Shank_L_Accel_X
SD_Shank_L_Accel_Y
SD_Shank_L_Accel_Z
SD_Foot_L_Gyro_X
SD_Foot_L_Gyro_Y
SD_Foot_L_Gyro_Z
SD_Foot_L_Accel_X
SD_Foot_L_Accel_Y
SD_Foot_L_Accel_Z
SD_Pelvis_Gyro_X
SD_Pelvis_Gyro_Y
SD_Pelvis_Gyro_Z
SD_Pelvis_Accel_X
SD_Pelvis_Accel_Y
SD_Pelvis_Accel_Z
RMS_Thigh_R_Gyro_X
RMS_Thigh_R_Gyro_Y
RMS_Thigh_R_Gyro_Z
RMS_Thigh_R_Accel_X
RMS_Thigh_R_Accel_Y
RMS_Thigh_R_Accel_Z
RMS_Shank_R_Gyro_X
RMS_Shank_R_Gyro_Y
RMS_Shank_R_Gyro_Z
RMS_Shank_R_Accel_X
RMS_Shank_R_Accel_Y
RMS_Shank_R_Accel_Z
RMS_Foot_R_Gyro_X
RMS_Foot_R_Gyro_Y
RMS_Foot_R_Gyro_Z
RMS_Foot_R_Accel_X
RMS_Foot_R_Accel_Y
RMS_Foot_R_Accel_Z
RMS_Thigh_L_Gyro_X
RMS_Thigh_L_Gyro_Y
RMS_Thigh_L_Gyro_Z
RMS_Thigh_L_Accel_X
RMS_Thigh_L_Accel_Y
RMS_Thigh_L_Accel_Z
RMS_Shank_L_Gyro_X
RMS_Shank_L_Gyro_Y
RMS_Shank_L_Gyro_Z
RMS_Shank_L_Accel_X
RMS_Shank_L_Accel_Y
RMS_Shank_L_Accel_Z
RMS_Foot_L_Gyro_X
RMS_Foot_L_Gyro_Y
RMS_Foot_L_Gyro_Z
RMS_Foot_L_Accel_X
RMS_Foot_L_Accel_Y
RMS_Foot_L_Accel_Z
RMS_Pelvis_Gyro_X
RMS_Pelvis_Gyro_Y
RMS_Pelvis_Gyro_Z
RMS_Pelvis_Accel_X
RMS_Pelvis_Accel_Y
RMS_Pelvis_Accel_Z
ZC_Thigh_R_Gyro_X
ZC_Thigh_R_Gyro_Y
ZC_Thigh_R_Gyro_Z
ZC_Thigh_R_Accel_X
ZC_Thigh_R_Accel_Y
ZC_Thigh_R_Accel_Z
ZC_Shank_R_Gyro_X
ZC_Shank_R_Gyro_Y
ZC_Shank_R_Gyro_Z
ZC_Shank_R_Accel_X
ZC_Shank_R_Accel_Y
ZC_Shank_R_Accel_Z
ZC_Foot_R_Gyro_X
ZC_Foot_R_Gyro_Y
ZC_Foot_R_Gyro_Z
ZC_Foot_R_Accel_X
ZC_Foot_R_Accel_Y
ZC_Foot_R_Accel_Z
ZC_Thigh_L_Gyro_X
ZC_Thigh_L_Gyro_Y
ZC_Thigh_L_Gyro_Z
ZC_Thigh_L_Accel_X
ZC_Thigh_L_Accel_Y
ZC_Thigh_L_Accel_Z
ZC_Shank_L_Gyro_X
ZC_Shank_L_Gyro_Y
ZC_Shank_L_Gyro_Z
ZC_Shank_L_Accel_X
ZC_Shank_L_Accel_Y
ZC_Shank_L_Accel_Z
ZC_Foot_L_Gyro_X
ZC_Foot_L_Gyro_Y
ZC_Foot_L_Gyro_Z
ZC_Foot_L_Accel_X
ZC_Foot_L_Accel_Y
ZC_Foot_L_Accel_Z
ZC_Pelvis_Gyro_X
ZC_Pelvis_Gyro_Y
ZC_Pelvis_Gyro_Z
ZC_Pelvis_Accel_X
ZC_Pelvis_Accel_Y
ZC_Pelvis_Accel_Z
MSC_Thigh_R_Gyro_X
MSC_Thigh_R_Gyro_Y
MSC_Thigh_R_Gyro_Z
MSC_Thigh_R_Accel_X
MSC_Thigh_R_Accel_Y
MSC_Thigh_R_Accel_Z
MSC_Shank_R_Gyro_X
MSC_Shank_R_Gyro_Y
MSC_Shank_R_Gyro_Z
MSC_Shank_R_Accel_X
MSC_Shank_R_Accel_Y
MSC_Shank_R_Accel_Z
MSC_Foot_R_Gyro_X
MSC_Foot_R_Gyro_Y
MSC_Foot_R_Gyro_Z
MSC_Foot_R_Accel_X
MSC_Foot_R_Accel_Y
MSC_Foot_R_Accel_Z
MSC_Thigh_L_Gyro_X
MSC_Thigh_L_Gyro_Y
MSC_Thigh_L_Gyro_Z
MSC_Thigh_L_Accel_X
MSC_Thigh_L_Accel_Y
MSC_Thigh_L_Accel_Z
MSC_Shank_L_Gyro_X
MSC_Shank_L_Gyro_Y
MSC_Shank_L_Gyro_Z
MSC_Shank_L_Accel_X
MSC_Shank_L_Accel_Y
MSC_Shank_L_Accel_Z
MSC_Foot_L_Gyro_X
MSC_Foot_L_Gyro_Y
MSC_Foot_L_Gyro_Z
MSC_Foot_L_Accel_X
MSC_Foot_L_Accel_Y
MSC_Foot_L_Accel_Z
MSC_Pelvis_Gyro_X
MSC_Pelvis_Gyro_Y
MSC_Pelvis_Gyro_Z
MSC_Pelvis_Accel_X
MSC_Pelvis_Accel_Y
MSC_Pelvis_Accel_Z
