Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
274218.7500	21.3354	150.6611	25.6374	12.6796	14.6074	7.4357	-0.5924	-0.6136	-0.1627	274218.7500	1.2881	21.7360	-311.2831	4.8035	16.6794	1.6001	-0.5942	-0.5234	0.1527	274218.7500	-319.1502	133.3850	-107.8359	-0.3333	28.8251	9.1028	0.0503	0.5312	0.6960	274218.7500	16.1029	-17.6935	-69.8750	-2.5910	11.1301	3.1776	0.0647	-0.5885	-0.4052	274218.7500	3.0765	8.2376	-106.7946	0.1675	12.2430	1.4615	0.0286	-0.6362	-0.3074	274218.7500	71.5155	-1.8289	1.5543	1.3397	5.4723	-8.2718	-0.1860	1.2731	0.4038	274228.5156	27.8315	1.2865	20.7537	1.2574	7.8297	1.4855	-0.2764	-0.6092	-0.1959	0.0000	0.0000
274228.5156	19.4846	179.4768	25.7405	14.8928	15.8294	13.5682	-0.5676	-0.6097	-0.1757	274228.5156	1.2881	21.7360	-311.2831	5.5995	16.2167	2.1597	-0.6115	-0.5488	0.1527	274228.5156	-130.2234	6.2686	-10.5858	3.2482	31.6502	17.1060	0.0503	0.5312	0.6960	274228.5156	16.1029	-17.6935	-69.8750	-1.3483	11.8938	3.6207	0.0588	-0.5597	-0.4122	274228.5156	3.0765	8.2376	-106.7946	0.6369	12.7834	1.0611	0.0286	-0.6362	-0.3074	274228.5156	71.5155	-1.8289	1.5543	0.9442	5.0844	-8.4153	-0.1940	1.2794	0.3897	274238.2812	36.6637	-0.4843	20.1882	1.8934	8.2112	1.4039	-0.2393	-0.6360	-0.1912	0.0000	0.0000
274238.2812	19.4846	179.4768	25.7405	14.2004	16.3640	16.0516	-0.5810	-0.6078	-0.1670	274238.2812	-15.2796	-114.6626	-173.1739	3.8483	11.8060	-1.8405	-0.6000	-0.4668	0.1656	274238.2812	-130.2234	6.2686	-10.5858	-7.8078	31.5129	19.0619	0.0704	0.5208	0.6960	274238.2812	16.1029	-17.6935	-69.8750	-1.1170	12.2757	3.5374	0.0353	-0.5432	-0.3958	274238.2812	3.0765	8.2376	-106.7946	1.0281	13.0103	0.4267	0.0367	-0.6191	-0.2989	274238.2812	71.5155	-1.8289	1.5543	0.8646	4.9289	-8.4902	-0.1760	1.2374	0.3779	274248.0469	36.6637	-0.4843	20.1882	2.3647	8.8166	0.7757	-0.2597	-0.6111	-0.1912	0.0000	0.0000
274248.0469	19.4846	179.4768	25.7405	12.8327	17.1277	14.7791	-0.5810	-0.6039	-0.1692	274248.0469	-15.2796	-114.6626	-173.1739	-2.2811	7.4039	-4.9761	-0.6000	-0.4668	0.1656	274248.0469	-130.2234	6.2686	-10.5858	-13.9586	29.6314	19.1422	0.0523	0.5083	0.6828	274248.0469	-0.5051	-4.4258	-37.6456	-2.1206	12.1993	3.7798	0.0353	-0.5432	-0.3958	274248.0469	-0.1991	-31.2681	-126.5648	0.4022	13.7157	0.9727	-0.0204	-0.6255	-0.3137	274248.0469	136.1516	-9.3540	11.2907	0.8662	4.9321	-8.3311	-0.1760	1.2374	0.3779	274257.8125	36.6637	-0.4843	20.1882	2.3647	9.4282	0.7696	-0.2430	-0.6015	-0.1889	0.0000	0.0000
274257.8125	24.0620	-85.1900	28.8140	11.3448	17.2804	9.4529	-0.5733	-0.6505	-0.1649	274257.8125	-15.2796	-114.6626	-173.1739	-7.3756	8.6286	0.4245	-0.6442	-0.4746	0.2043	274257.8125	64.4464	122.5164	-95.1620	-5.0049	27.2785	19.1530	0.0523	0.5083	0.6828	274257.8125	-0.5051	-4.4258	-37.6456	-3.1235	12.2757	4.0979	0.0431	-0.5494	-0.4075	274257.8125	-0.1991	-31.2681	-126.5648	-0.3802	14.3385	1.0455	-0.0265	-0.6255	-0.2968	274257.8125	136.1516	-9.3540	11.2907	1.1002	5.0812	-8.5776	-0.1760	1.2479	0.3685	274267.5781	36.6637	-0.4843	20.1882	2.1999	10.4167	0.2154	-0.2635	-0.5958	-0.1959	0.0000	0.0000
274267.5781	24.0620	-85.1900	28.8140	11.7880	14.1492	5.9451	-0.5543	-0.6311	-0.1714	274267.5781	51.3908	-84.5739	53.7285	-7.2164	12.4813	3.2565	-0.6077	-0.4883	0.2108	274267.5781	64.4464	122.5164	-95.1620	15.0049	9.6951	9.8322	0.0443	0.5188	0.6718	274267.5781	-0.5051	-4.4258	-37.6456	-3.7417	12.0465	4.1835	0.0255	-0.5885	-0.4145	274267.5781	-0.1991	-31.2681	-126.5648	-1.7885	14.6582	1.9114	-0.0265	-0.6255	-0.2968	274267.5781	136.1516	-9.3540	11.2907	1.7305	5.3888	-8.5964	-0.1960	1.2017	0.3404	274277.3437	30.8854	-16.2858	20.3891	1.3195	11.9412	-0.2664	-0.2375	-0.5843	-0.1982	0.0000	0.0000
274277.3437	24.0620	-85.1900	28.8140	10.1019	11.8580	4.7064	-0.5543	-0.6408	-0.1584	274277.3437	51.3908	-84.5739	53.7285	-4.5100	13.6196	0.0102	-0.5923	-0.4863	0.2000	274277.3437	64.4464	122.5164	-95.1620	10.0998	-6.6655	-10.5457	0.0865	0.4917	0.6916	274277.3437	-30.0015	-41.6402	-3.3927	-3.7409	11.9702	4.2615	0.0353	-0.5494	-0.3981	274277.3437	-0.1991	-31.2681	-126.5648	-3.1186	14.7463	2.9377	-0.0367	-0.6340	-0.3011	274277.3437	223.5000	-39.4430	25.9809	0.3114	5.1569	-8.6429	-0.1600	1.2080	0.3122	274287.1094	30.8854	-16.2858	20.3891	0.9198	13.0865	-0.4334	-0.2393	-0.5881	-0.2005	0.0000	0.0000
274287.1094	-7.2053	-145.3100	44.3380	4.7634	9.9487	4.8541	-0.5562	-0.6427	-0.1562	274287.1094	51.3908	-84.5739	53.7285	-3.6343	11.8587	3.4262	-0.5923	-0.4863	0.2000	274287.1094	106.2320	-53.0398	-49.8974	-12.3236	25.9102	-7.8814	0.1066	0.4167	0.7093	274287.1094	-30.0015	-41.6402	-3.3927	-4.8204	12.1993	4.6560	0.0353	-0.5494	-0.3981	274287.1094	-0.2369	-24.1609	-150.1574	-3.1968	15.0415	1.3545	-0.0796	-0.6277	-0.2989	274287.1094	223.5000	-39.4430	25.9809	-1.0243	5.3193	-8.2215	-0.1600	1.2080	0.3122	274296.8750	30.8854	-16.2858	20.3891	1.7142	14.1553	-0.5996	-0.2468	-0.6054	-0.2028	0.0000	0.0000
274296.8750	-7.2053	-145.3100	44.3380	-1.2956	9.7959	4.6906	-0.5771	-0.6466	-0.1258	274296.8750	13.9443	-83.0842	208.8686	-1.2463	12.5727	4.5913	-0.5981	-0.5176	0.2344	274296.8750	106.2320	-53.0398	-49.8974	-9.2871	-17.0607	-30.4544	0.1066	0.4167	0.7093	274296.8750	-30.0015	-41.6402	-3.3927	-6.2938	12.4284	4.3596	0.0431	-0.5617	-0.4075	274296.8750	-0.2369	-24.1609	-150.1574	-3.6663	15.9888	2.7673	-0.0796	-0.6277	-0.2989	274296.8750	223.5000	-39.4430	25.9809	-0.4736	5.5485	-8.3167	-0.1720	1.1702	0.2770	274306.6406	6.2459	-17.2847	0.9170	2.1145	13.8518	-0.3633	-0.2505	-0.6475	-0.2166	0.0000	0.0000
274306.6406	-7.2053	-145.3100	44.3380	-8.7266	10.0251	2.8072	-0.5543	-0.6214	-0.1171	274306.6406	13.9443	-83.0842	208.8686	2.8930	10.5960	2.0362	-0.5519	-0.5430	0.2323	274306.6406	106.2320	-53.0398	-49.8974	-9.0535	-0.1053	-5.5026	0.1268	0.4062	0.7004	274306.6406	-45.4921	-55.9692	44.4711	-8.2445	12.6575	2.7556	0.0196	-0.5844	-0.4052	274306.6406	-0.2369	-24.1609	-150.1574	-4.5269	17.6106	1.6449	-0.1204	-0.6617	-0.2926	274306.6406	344.0823	-67.9465	6.7958	-1.5728	5.4029	-7.8938	-0.1660	1.1239	0.2230	274316.4062	6.2459	-17.2847	0.9170	2.3627	13.4789	0.5736	-0.2393	-0.6226	-0.2028	0.0000	0.0000
274316.4062	-7.2053	-145.3100	44.3380	-15.1329	10.6360	-0.2183	-0.5505	-0.6388	-0.0933	274316.4062	13.9443	-83.0842	208.8686	15.5498	8.9068	4.8219	-0.5519	-0.5430	0.2323	274316.4062	106.2320	-53.0398	-49.8974	-16.1387	13.2713	-9.0229	0.1871	0.4083	0.7115	274316.4062	-45.4921	-55.9692	44.4711	-9.2659	13.1158	1.2172	0.0196	-0.5844	-0.4052	274316.4062	9.4674	-65.1871	-170.1265	-5.0746	18.4383	-1.1288	-0.1408	-0.6532	-0.2947	274316.4062	344.0823	-67.9465	6.7958	-4.7298	6.0105	-8.3204	-0.1660	1.1239	0.2230	274326.1719	6.2459	-17.2847	0.9170	2.5344	13.4148	1.8185	-0.2635	-0.6015	-0.2028	0.0000	0.0000
274326.1719	-11.9776	-239.9846	81.0313	-17.4714	13.5382	-2.9313	-0.5600	-0.6330	-0.0824	274326.1719	13.9443	-83.0842	208.8686	20.2463	17.9352	-5.5012	-0.5288	-0.5645	0.2258	274326.1719	249.1515	-68.4699	23.6141	-5.2384	18.5992	-17.4061	0.1871	0.4083	0.7115	274326.1719	-45.4921	-55.9692	44.4711	-10.0567	12.7339	-0.4695	0.0216	-0.6070	-0.3888	274326.1719	9.4674	-65.1871	-170.1265	-5.7005	18.5970	-0.8144	-0.1939	-0.6404	-0.3074	274326.1719	344.0823	-67.9465	6.7958	-5.1923	6.3393	-7.2829	-0.1580	1.1029	0.1784	274335.9375	21.7131	-1.6498	-3.9296	2.6140	13.2619	1.8200	-0.2375	-0.6054	-0.2166	0.0000	0.0000
274335.9375	-11.9776	-239.9846	81.0313	-8.2007	14.1492	-0.3979	-0.5333	-0.6680	-0.0911	274335.9375	-30.7833	57.7576	53.6001	5.1219	17.9144	-23.1912	-0.5365	-0.5781	0.2366	274335.9375	249.1515	-68.4699	23.6141	-0.6448	14.4700	-22.4816	0.1650	0.2917	0.7137	274335.9375	-45.4921	-55.9692	44.4711	-10.3753	10.6718	-1.3721	0.0569	-0.5638	-0.3911	274335.9375	9.4674	-65.1871	-170.1265	-6.3264	18.2859	-0.8113	-0.1939	-0.6404	-0.3074	274335.9375	344.0823	-67.9465	6.7958	-4.5724	11.0930	-8.3456	-0.1560	1.0294	0.0986	274345.7031	21.7131	-1.6498	-3.9296	2.9262	12.8734	1.2018	-0.2542	-0.5920	-0.2074	0.0000	0.0000
274345.7031	-11.9776	-239.9846	81.0313	5.0523	14.9893	1.8677	-0.5200	-0.6621	-0.1085	274345.7031	-30.7833	57.7576	53.6001	-1.4055	14.3803	-1.9707	-0.4981	-0.6016	0.2452	274345.7031	249.1515	-68.4699	23.6141	-4.0706	14.0697	-15.4517	0.1690	0.3146	0.7225	274345.7031	-106.1687	-17.6452	98.1210	-8.7409	9.9081	-0.4544	0.0569	-0.5905	-0.3700	274345.7031	19.8588	-171.6796	-174.7142	-6.4046	17.5115	-0.4875	-0.2347	-0.6447	-0.2842	274345.7031	511.6146	102.6320	-134.0006	-1.5032	7.5409	-8.8135	-0.1920	1.0126	0.0094	274355.4687	21.7131	-1.6498	-3.9296	2.6023	13.1738	0.6544	-0.2635	-0.6207	-0.2051	0.0000	0.0000
274355.4687	22.5559	177.7431	-11.5988	11.8119	15.6766	0.3644	-0.5143	-0.6680	-0.1193	274355.4687	-30.7833	57.7576	53.6001	-3.0771	14.0269	9.5155	-0.4981	-0.6016	0.2452	274355.4687	148.8155	-79.2321	20.6327	-6.3285	8.4580	-11.9157	0.2213	0.2896	0.7247	274355.4687	-106.1687	-17.6452	98.1210	-4.9338	8.9153	1.0615	0.0569	-0.5905	-0.3700	274355.4687	19.8588	-171.6796	-174.7142	-4.6051	16.6116	2.8401	-0.2531	-0.6319	-0.2884	274355.4687	511.6146	102.6320	-134.0006	-1.1956	13.8408	-9.5825	-0.1920	1.0126	0.0094	274365.2344	53.0460	-29.6806	-17.8818	1.0023	15.3068	-0.1446	-0.2690	-0.6015	-0.2143	0.0000	0.0000
274365.2344	22.5559	177.7431	-11.5988	13.8012	15.4475	0.0459	-0.5390	-0.6602	-0.1193	274365.2344	106.9137	-114.3880	157.1407	-3.3159	14.6128	-2.1326	-0.4865	-0.6094	0.2473	274365.2344	148.8155	-79.2321	20.6327	-7.8078	11.7512	-12.0106	0.2213	0.2896	0.7247	274365.2344	-106.1687	-17.6452	98.1210	-1.9174	8.6862	0.8792	0.0529	-0.6070	-0.3443	274365.2344	19.8588	-171.6796	-174.7142	-2.8056	17.3359	5.2822	-0.2531	-0.6319	-0.2884	274365.2344	511.6146	102.6320	-134.0006	2.9831	26.7052	-9.4458	-0.2080	0.9391	-0.0845	274375.0000	53.0460	-29.6806	-17.8818	0.1992	16.0644	-0.8520	-0.2486	-0.6054	-0.2281	0.0000	0.0000
274375.0000	22.5559	177.7431	-11.5988	6.1722	10.7124	2.2753	-0.5219	-0.6660	-0.1171	274375.0000	106.9137	-114.3880	157.1407	-6.9776	12.7654	-7.3634	-0.4692	-0.6230	0.2667	274375.0000	148.8155	-79.2321	20.6327	-0.8783	18.3927	-14.5281	0.2173	0.2250	0.7445	274375.0000	-92.3465	50.0002	130.0908	-0.1362	8.9153	1.0135	0.1118	-0.6049	-0.3443	274375.0000	32.0097	-172.3971	-166.3893	-1.1626	17.1520	2.4396	-0.3082	-0.6340	-0.2821	274375.0000	511.0642	-30.2333	-189.0341	-3.6907	20.5952	-6.8816	-0.2400	0.9475	-0.1831	274384.7656	53.0460	-29.6806	-17.8818	-1.5676	16.3546	-2.4102	-0.2468	-0.6284	-0.2166	0.0000	0.0000
274384.7656	34.5977	-320.1987	30.7725	-7.4905	8.5740	-1.1013	-0.5600	-0.6621	-0.0824	274384.7656	106.9137	-114.3880	157.1407	-8.3308	7.9208	-0.1117	-0.4385	-0.6426	0.2710	274384.7656	31.1636	-43.0572	27.6142	0.0560	7.2557	-14.5029	0.2133	0.2562	0.7313	274384.7656	-92.3465	50.0002	130.0908	0.7171	10.7482	1.2183	0.1176	-0.6193	-0.3326	274384.7656	32.0097	-172.3971	-166.3893	0.0892	15.5771	0.4800	-0.3388	-0.6106	-0.2568	274384.7656	511.0642	-30.2333	-189.0341	-7.9018	26.2269	-10.2533	-0.2920	0.9202	-0.2770	274394.5312	53.0460	-29.6806	-17.8818	-3.4146	14.4269	-4.0240	-0.2523	-0.5805	-0.2189	0.0000	0.0000
274394.5312	34.5977	-320.1987	30.7725	-13.4545	7.2757	0.2498	-0.5410	-0.6680	-0.0738	274394.5312	21.6212	-54.0510	151.9217	-8.4104	5.9226	2.9946	-0.4385	-0.6426	0.2710	274394.5312	31.1636	-43.0572	27.6142	-2.3577	3.6807	-11.2161	0.2133	0.2562	0.7313	274394.5312	-92.3465	50.0002	130.0908	1.5750	13.4212	1.8778	0.1176	-0.6193	-0.3326	274394.5312	32.0097	-172.3971	-166.3893	0.1675	12.2375	0.9085	-0.3633	-0.6043	-0.2632	274394.5312	511.0642	-30.2333	-189.0341	-6.2107	27.8356	-14.5382	-0.2920	0.9202	-0.2770	274404.2969	-21.2117	10.6554	-21.9883	-4.3711	11.7494	-4.1527	-0.2672	-0.6015	-0.2258	0.0000	0.0000
274404.2969	34.5977	-320.1987	30.7725	-12.5455	6.8174	3.4791	-0.5600	-0.6680	-0.0651	274404.2969	21.6212	-54.0510	151.9217	-6.6592	9.8062	1.1085	-0.4154	-0.6562	0.2559	274404.2969	31.1636	-43.0572	27.6142	-0.0998	5.7933	-11.7208	0.2495	0.2750	0.7401	274404.2969	-40.8388	57.0064	158.9490	2.4413	17.1635	3.3757	0.1255	-0.5720	-0.3021	274404.2969	32.0097	-172.3971	-166.3893	0.6369	10.1492	2.0355	-0.3633	-0.6043	-0.2632	274404.2969	446.6979	90.8446	-234.2192	-3.6315	19.0157	-8.8413	-0.3080	0.9244	-0.3474	274414.0625	-21.2117	10.6554	-21.9883	-4.5972	9.0094	-2.8811	-0.2579	-0.6034	-0.2304	0.0000	0.0000
274414.0625	49.4473	72.9176	51.4307	-10.3782	8.4212	5.0207	-0.5429	-0.6796	-0.0976	274414.0625	21.6212	-54.0510	151.9217	-5.7040	12.4017	3.1009	-0.4038	-0.6875	0.2796	274414.0625	31.1636	-43.0572	27.6142	0.9903	6.9642	-12.2812	0.2414	0.2229	0.7445	274414.0625	-40.8388	57.0064	158.9490	2.6938	21.1348	5.4179	0.1784	-0.5905	-0.3021	274414.0625	36.7297	-40.1961	-113.4055	0.7934	8.1965	1.1859	-0.3816	-0.6191	-0.2695	274414.0625	446.6979	90.8446	-234.2192	-5.7662	26.4694	-17.3855	-0.3660	0.9223	-0.4343	274423.8281	-21.2117	10.6554	-21.9883	-2.8427	6.8718	-2.5487	-0.2672	-0.6303	-0.2143	0.0000	0.0000
274423.8281	49.4473	72.9176	51.4307	-8.0564	6.8938	6.0657	-0.5429	-0.6544	-0.0911	274423.8281	41.7602	44.0849	124.3164	-4.6692	10.8654	5.5689	-0.3788	-0.6758	0.2602	274423.8281	13.8513	-38.9747	10.8295	-0.8783	3.8559	-9.3887	0.2314	0.2250	0.7357	274423.8281	-40.8388	57.0064	158.9490	2.7812	21.7458	6.4146	0.1784	-0.5905	-0.3021	274423.8281	36.7297	-40.1961	-113.4055	4.9401	8.0150	-1.4197	-0.3918	-0.5979	-0.2589	274423.8281	446.6979	90.8446	-234.2192	-4.7553	22.2062	-18.7532	-0.4120	0.9349	-0.5000	274433.5937	6.3318	64.8857	23.2048	-1.3301	6.0308	-2.5403	-0.2820	-0.6360	-0.2304	0.0000	0.0000
274433.5937	49.4473	72.9176	51.4307	-5.4226	4.9081	6.4352	-0.5124	-0.6835	-0.1106	274433.5937	41.7602	44.0849	124.3164	-4.3507	8.5742	2.7843	-0.3788	-0.6758	0.2602	274433.5937	13.8513	-38.9747	10.8295	-0.0219	3.5398	-9.6246	0.2314	0.2250	0.7357	274433.5937	-63.6002	24.1715	131.2361	2.1487	17.2399	5.0763	0.2059	-0.5741	-0.3091	274433.5937	36.7297	-40.1961	-113.4055	12.3729	8.4926	-0.3183	-0.3918	-0.5979	-0.2589	274433.5937	159.0595	111.3958	-207.6739	-5.0703	13.1959	-18.7259	-0.4120	0.9349	-0.5000	274443.3594	6.3318	64.8857	23.2048	0.0122	5.7905	-3.6266	-0.2523	-0.6169	-0.2396	0.0000	0.0000
274443.3594	49.4473	72.9176	51.4307	-1.5170	6.3592	6.4569	-0.5143	-0.6777	-0.0976	274443.3594	41.7602	44.0849	124.3164	-4.3507	9.1094	1.6728	-0.3481	-0.7070	0.2323	274443.3594	13.8513	-38.9747	10.8295	-0.0998	4.7177	-9.4820	0.2596	0.2521	0.7247	274443.3594	-63.6002	24.1715	131.2361	0.7292	13.1921	2.4289	0.2098	-0.5412	-0.2810	274443.3594	37.5570	47.1714	-44.3897	19.1797	8.8873	8.0531	-0.3857	-0.5851	-0.2653	274443.3594	159.0595	111.3958	-207.6739	5.3934	38.6462	-28.5189	-0.4220	0.9370	-0.5047	274453.1250	6.3318	64.8857	23.2048	1.0361	6.7735	-4.7251	-0.2486	-0.6341	-0.2350	0.0000	0.0000
274453.1250	15.8099	98.9060	49.4207	-0.6519	9.0322	5.2934	-0.4933	-0.6893	-0.1302	274453.1250	41.7602	44.0849	124.3164	-3.7935	10.0600	3.0691	-0.3596	-0.7305	0.2581	274453.1250	13.7231	-16.7006	7.6173	-0.1776	3.5475	-8.8548	0.2535	0.2229	0.7313	274453.1250	-63.6002	24.1715	131.2361	-0.7587	12.3520	0.6766	0.2412	-0.5247	-0.2763	274453.1250	37.5570	47.1714	-44.3897	19.2579	8.1074	7.8239	-0.4000	-0.5830	-0.2905	274453.1250	159.0595	111.3958	-207.6739	-9.9966	17.1215	-22.6860	-0.4420	0.9139	-0.5258	274462.8906	-14.7886	42.8485	8.8201	2.1573	9.3036	-4.0505	-0.2486	-0.6188	-0.2166	0.0000	0.0000
274462.8906	15.8099	98.9060	49.4207	-1.3723	10.1778	4.9883	-0.5067	-0.6738	-0.1085	274462.8906	-10.7646	110.0270	84.7213	-3.0771	10.2917	2.8286	-0.3462	-0.7480	0.2301	274462.8906	13.7231	-16.7006	7.6173	-0.1776	4.2510	-9.0924	0.2535	0.2229	0.7313	274462.8906	-63.6002	24.1715	131.2361	-1.1449	13.1158	0.7500	0.2412	-0.5247	-0.2763	274462.8906	37.5570	47.1714	-44.3897	13.3900	7.5592	7.4343	-0.3959	-0.5596	-0.2842	274462.8906	159.0595	111.3958	-207.6739	-9.0526	9.6508	-14.9933	-0.4600	0.9286	-0.4812	274472.6562	-14.7886	42.8485	8.8201	3.1216	11.4537	-3.1388	-0.2560	-0.5996	-0.2350	0.0000	0.0000
274472.6562	15.8099	98.9060	49.4207	-1.8512	10.2542	4.9171	-0.4819	-0.6796	-0.1215	274472.6562	-10.7646	110.0270	84.7213	-2.4403	10.9034	1.5583	-0.3462	-0.7480	0.2301	274472.6562	13.7231	-16.7006	7.6173	-1.2676	4.5633	-9.2382	0.2455	0.2167	0.7247	274472.6562	-2.9695	-15.3506	145.8968	-1.3678	13.7267	1.6726	0.2529	-0.5494	-0.2763	274472.6562	-21.0035	-64.7602	6.9186	7.0526	6.5254	5.1533	-0.3959	-0.5596	-0.2842	274472.6562	-210.4608	-95.8821	-3.4712	-9.6327	4.8227	-9.9498	-0.4600	0.9286	-0.4812	274482.4219	-14.7886	42.8485	8.8201	3.6849	12.6832	-2.5290	-0.2468	-0.5996	-0.2235	0.0000	0.0000
274482.4219	32.2461	38.0942	84.4793	-1.1355	10.7888	4.7542	-0.4914	-0.6796	-0.1150	274482.4219	-10.7646	110.0270	84.7213	-0.5299	11.0469	0.2975	-0.3404	-0.7129	0.2086	274482.4219	15.9826	-8.6612	4.0564	-1.0341	4.1734	-9.0062	0.2555	0.2500	0.7225	274482.4219	-2.9695	-15.3506	145.8968	0.0366	14.2613	2.8112	0.2784	-0.5185	-0.2717	274482.4219	-21.0035	-64.7602	6.9186	3.8447	4.5499	2.0125	-0.4082	-0.5574	-0.2674	274482.4219	-210.4608	-95.8821	-3.4712	-8.4274	3.5596	-7.6402	-0.4560	0.8824	-0.4343	274492.1875	-7.3046	8.0521	5.7779	3.9275	13.2223	-2.1456	-0.2486	-0.6092	-0.2350	0.0000	0.0000
274492.1875	32.2461	38.0942	84.4793	0.0599	10.7888	4.7423	-0.4686	-0.6913	-0.1453	274492.1875	-7.2095	40.6936	61.4659	0.9826	10.0238	-0.5469	-0.3519	-0.7344	0.2366	274492.1875	15.9826	-8.6612	4.0564	-1.1898	4.2503	-9.1591	0.2837	0.2562	0.7357	274492.1875	-2.9695	-15.3506	145.8968	0.8986	14.1086	3.8849	0.3118	-0.4794	-0.2881	274492.1875	-21.0035	-64.7602	6.9186	2.0452	2.0459	0.4573	-0.3837	-0.5596	-0.2695	274492.1875	-210.4608	-95.8821	-3.4712	-7.5449	0.9720	-6.0937	-0.4640	0.8887	-0.4038	274501.9531	-7.3046	8.0521	5.7779	3.6084	13.1450	-2.2226	-0.2523	-0.6207	-0.2235	0.0000	0.0000
274501.9531	32.2461	38.0942	84.4793	-0.4175	10.0251	4.8299	-0.4686	-0.7049	-0.1236	274501.9531	-7.2095	40.6936	61.4659	-0.3706	9.4933	1.0362	-0.3519	-0.7344	0.2366	274501.9531	15.9826	-8.6612	4.0564	-1.5791	4.8754	-9.3919	0.2837	0.2562	0.7357	274501.9531	7.6688	48.5774	165.0646	0.6573	13.3449	2.9685	0.3118	-0.4794	-0.2881	274501.9531	-26.0917	-40.1487	80.1468	1.4193	0.4805	-0.5542	-0.3837	-0.5596	-0.2695	274501.9531	-224.0017	18.4605	15.9419	-7.2267	1.7481	-5.7971	-0.4660	0.8655	-0.3404	274511.7187	-7.3046	8.0521	5.7779	2.6540	12.5342	-2.1387	-0.2523	-0.6188	-0.2350	0.0000	0.0000
274511.7187	26.5696	39.8847	110.1376	-1.6113	9.4141	4.9984	-0.4229	-0.7223	-0.1605	274511.7187	-7.2095	40.6936	61.4659	-1.7239	10.0427	1.3397	-0.3212	-0.7500	0.2215	274511.7187	15.9826	-8.6612	4.0564	-1.1119	4.0958	-8.9278	0.2515	0.2271	0.7269	274511.7187	7.6688	48.5774	165.0646	0.4926	12.2757	1.9773	0.3235	-0.4712	-0.2810	274511.7187	-26.0917	-40.1487	80.1468	1.6540	-0.0693	-1.1018	-0.3816	-0.5596	-0.2505	274511.7187	-224.0017	18.4605	15.9419	-5.8858	3.5984	-5.7018	-0.4660	0.8655	-0.3404	274521.4844	-7.3046	8.0521	5.7779	1.3001	11.3866	-2.2050	-0.2356	-0.6054	-0.2235	0.0000	0.0000
274521.4844	26.5696	39.8847	110.1376	-1.9301	9.4141	5.0015	-0.4267	-0.7282	-0.1345	274521.4844	5.8401	-17.7464	48.4543	-2.3607	10.1121	0.4734	-0.3000	-0.6973	0.2065	274521.4844	14.7831	3.0856	-1.3942	-0.8005	4.4886	-8.8580	0.2656	0.2479	0.7225	274521.4844	7.6688	48.5774	165.0646	0.7163	11.2064	1.1365	0.3373	-0.4856	-0.2623	274521.4844	-26.0917	-40.1487	80.1468	2.2017	-0.3089	-1.7315	-0.3510	-0.5660	-0.2484	274521.4844	-224.0017	18.4605	15.9419	-4.7106	5.5098	-6.4003	-0.4260	0.8655	-0.2864	274531.2500	-9.9169	-12.6381	16.8234	0.1077	10.3177	-2.0388	-0.2486	-0.6130	-0.2304	0.0000	0.0000
274531.2500	26.5696	39.8847	110.1376	-3.5374	8.5740	3.6723	-0.3981	-0.7320	-0.1627	274531.2500	5.8401	-17.7464	48.4543	-2.6791	10.1231	1.5740	-0.3154	-0.7109	0.2387	274531.2500	14.7831	3.0856	-1.3942	-0.6448	4.1734	-9.0101	0.2656	0.2479	0.7225	274531.2500	2.8012	99.9377	151.2815	1.8841	10.2900	1.8288	0.3373	-0.4856	-0.2623	274531.2500	1.8899	95.3043	176.7993	3.4535	0.0783	-1.8934	-0.3510	-0.6191	-0.2484	274531.2500	-267.6090	61.4528	34.7917	-3.8504	7.0364	-7.0849	-0.4540	0.8697	-0.2254	274541.0156	-9.9169	-12.6381	16.8234	-0.8451	9.7849	-1.8002	-0.2245	-0.6360	-0.2189	0.0000	0.0000
274541.0156	-29.8045	53.5813	119.6156	-2.1780	7.3520	4.1222	-0.4000	-0.7398	-0.1410	274541.0156	5.8401	-17.7464	48.4543	-2.4403	10.0537	2.4402	-0.3154	-0.7109	0.2387	274541.0156	14.7831	3.0856	-1.3942	-0.4112	4.1764	-8.7051	0.2716	0.2042	0.7335	274541.0156	2.8012	99.9377	151.2815	1.5746	9.5263	1.8395	0.3686	-0.4342	-0.2693	274541.0156	1.8899	95.3043	176.7993	4.5489	0.7090	-1.0305	-0.3265	-0.6191	-0.2674	274541.0156	-267.6090	61.4528	34.7917	-2.1169	7.8056	-7.1349	-0.4540	0.8697	-0.1643	274550.7812	-9.9169	-12.6381	16.8234	-1.4796	9.4814	-1.5638	-0.2523	-0.5958	-0.2327	0.0000	0.0000
